Date,Product,Region,Sales_Rep,Quantity,Unit_Price,Total_Sales
2023-06-19,Product B,East,Bob Smith,25,309.64171832418344,7741.042958104586
2023-11-12,Product B,North,David Wilson,45,105.1942372209007,4733.740674940532
2023-09-21,Product D,East,David Wilson,34,56.05115052202581,1905.7391177488776
2023-08-03,Product C,North,Bob Smith,22,299.50829767881527,6589.182548933936
2023-12-08,Product A,West,Bob Smith,6,158.60010218987918,951.6006131392751
2023-04-11,Product A,Central,David Wilson,44,482.9733968914772,21250.829463224996
2023-04-13,Product D,Central,David Wilson,30,274.9112095889522,8247.336287668566
2023-11-07,Product D,Central,Bob Smith,42,168.24867174121053,7066.444213130842
2023-05-25,Product C,West,Bob Smith,26,22.42186427357418,582.9684711129287
2023-04-27,Product A,West,Eva Brown,1,94.91421683471442,94.91421683471442
2023-01-01,Product B,North,Eva Brown,1,477.8839875249651,477.8839875249651
2023-07-11,Product E,Central,Carol Davis,12,287.3582331420974,3448.298797705169
2023-03-27,Product A,Central,David Wilson,5,56.13692425159446,280.6846212579723
2023-04-04,Product D,Central,David Wilson,16,57.93873871899073,927.0198195038516
2023-12-07,Product D,North,Eva Brown,23,33.548872856546524,771.6240757005701
2023-09-03,Product E,West,Bob Smith,31,17.499224742288526,542.4759670109443
2023-05-27,Product B,North,Eva Brown,45,89.83786926990055,4042.704117145525
2023-10-07,Product B,North,David Wilson,32,470.7128182982292,15062.810185543334
2023-06-01,Product D,South,Carol Davis,33,234.54391634084314,7739.949239247823
2023-06-28,Product C,Central,David Wilson,3,412.00915344792134,1236.027460343764
2023-06-17,Product B,East,David Wilson,29,43.98703742883107,1275.624085436101
2023-04-05,Product B,Central,Carol Davis,35,174.91156529547598,6121.90478534166
2023-03-31,Product E,South,Bob Smith,26,176.9060390374776,4599.557014974417
2023-04-25,Product A,West,Bob Smith,45,468.9575944092966,21103.091748418345
2023-08-05,Product E,Central,Alice Johnson,36,96.94537645206418,3490.0335522743108
2023-07-11,Product C,North,Carol Davis,48,72.56796741700813,3483.2624360163904
2023-04-06,Product E,West,Alice Johnson,13,372.5552926192135,4843.218804049776
2023-12-21,Product A,North,Alice Johnson,20,414.9641583927934,8299.283167855869
2023-12-08,Product E,East,Carol Davis,49,36.207795406210764,1774.1819749043275
2023-08-21,Product C,West,Alice Johnson,7,478.83243371196363,3351.827035983745
2023-08-11,Product D,East,Bob Smith,47,50.80936148567723,2388.0399898268297
2023-03-10,Product C,West,Alice Johnson,21,378.66351942446323,7951.933907913728
2023-05-31,Product A,Central,Eva Brown,42,487.381622181861,20470.028131638162
2023-08-11,Product B,Central,Carol Davis,23,277.49872738084457,6382.470729759425
2023-11-27,Product B,West,Alice Johnson,10,420.11229837631316,4201.122983763132
2023-09-10,Product E,South,Alice Johnson,27,356.05869130668316,9613.584665280445
2023-01-05,Product E,Central,Carol Davis,8,193.39268992049895,1547.1415193639916
2023-11-17,Product D,North,Alice Johnson,45,379.1553107768814,17061.988984959662
2023-03-11,Product D,East,Eva Brown,44,283.61808237054447,12479.195624303957
2023-04-01,Product B,South,Carol Davis,39,222.88140379925295,8692.374748170865
2023-06-22,Product E,South,David Wilson,20,68.22077897135524,1364.4155794271048
2023-11-13,Product A,North,Carol Davis,13,126.37817093331027,1642.9162221330334
2023-07-10,Product D,North,Alice Johnson,33,119.56196087453179,3945.5447088595492
2023-05-14,Product B,West,Eva Brown,32,282.44246893486644,9038.159005915726
2023-10-30,Product E,Central,Carol Davis,37,133.96518231472817,4956.711745644942
2023-05-27,Product D,North,Bob Smith,47,318.40533268627865,14965.050636255097
2023-01-14,Product A,Central,Carol Davis,16,371.17934586307945,5938.869533809271
2023-01-12,Product B,West,David Wilson,8,93.1431529088271,745.1452232706168
2023-06-13,Product B,South,David Wilson,28,48.089972112842574,1346.519219159592
2023-02-10,Product D,East,Alice Johnson,9,161.6685319803006,1455.0167878227053
2023-07-31,Product E,West,Eva Brown,13,456.3543204019828,5932.606165225777
2023-09-10,Product B,East,Eva Brown,47,460.3965103994242,21638.635988772938
2023-01-10,Product B,East,Eva Brown,5,22.919817503653483,114.59908751826742
2023-10-16,Product A,South,Alice Johnson,11,301.1240505225462,3312.3645557480086
2023-03-04,Product A,East,Carol Davis,49,420.7810653084575,20618.272200114418
2023-04-08,Product A,East,Alice Johnson,21,37.62399335895429,790.1038605380401
2023-01-06,Product D,North,Eva Brown,31,377.4562672402862,11701.144284448872
2023-09-16,Product E,Central,Eva Brown,37,380.96978900080336,14095.882193029724
2023-03-24,Product A,Central,Alice Johnson,46,133.20679536078126,6127.512586595938
2023-06-22,Product E,West,Alice Johnson,49,380.92957476439204,18665.54916345521
2023-02-03,Product D,South,Bob Smith,34,243.34324142661694,8273.670208504976
2023-09-16,Product C,South,David Wilson,1,280.4343509994979,280.4343509994979
2023-08-10,Product C,North,Alice Johnson,48,245.22252383905283,11770.681144274535
2023-07-26,Product E,Central,Bob Smith,11,114.35243913936625,1257.8768305330289
2023-07-11,Product D,South,Bob Smith,34,321.95571759491844,10946.494398227227
2023-12-01,Product C,East,Bob Smith,38,230.94611923389115,8775.952530887864
2023-12-01,Product D,South,Carol Davis,17,475.26510559224465,8079.506795068159
2023-05-18,Product A,South,Alice Johnson,20,234.97652055674803,4699.530411134961
2023-02-03,Product E,South,Eva Brown,43,294.0284678911518,12643.224119319528
2023-04-21,Product A,East,David Wilson,40,351.2857184512687,14051.428738050747
2023-10-08,Product C,East,Carol Davis,29,486.8240711423511,14117.898063128181
2023-03-02,Product B,East,Carol Davis,21,92.77818090536063,1948.3417990125731
2023-04-02,Product B,Central,Eva Brown,6,69.1115768392944,414.6694610357664
2023-08-21,Product D,South,Bob Smith,49,256.6744627188799,12577.048673225116
2023-10-28,Product C,North,Bob Smith,47,317.6711908505448,14930.545969975607
2023-08-27,Product C,Central,Alice Johnson,26,435.46754244743755,11322.156103633377
2023-01-08,Product A,East,Eva Brown,15,272.92941653379296,4093.9412480068945
2023-02-25,Product B,West,Bob Smith,45,40.54726763050831,1824.627043372874
2023-07-06,Product C,East,Carol Davis,47,24.931354839461136,1171.7736774546734
2023-10-01,Product B,East,Carol Davis,15,61.38589160091564,920.7883740137346
2023-04-29,Product E,West,Bob Smith,39,167.81879113575735,6544.932854294537
2023-08-19,Product B,West,Alice Johnson,17,178.03416349634753,3026.580779437908
2023-01-25,Product D,South,Carol Davis,41,254.23667747523805,10423.703776484761
2023-04-21,Product D,South,Alice Johnson,44,72.51434836982625,3190.631328272355
2023-04-11,Product D,South,Bob Smith,45,171.87075582764786,7734.184012244154
2023-10-16,Product E,Central,David Wilson,30,101.41784178513983,3042.5352535541947
2023-11-14,Product A,East,Carol Davis,31,211.09444522493413,6543.927801972958
2023-02-05,Product B,West,David Wilson,11,434.09849168805033,4775.083408568554
2023-05-14,Product A,East,Alice Johnson,2,282.8138175768256,565.6276351536512
2023-01-26,Product C,Central,David Wilson,5,101.65143679318645,508.25718396593226
2023-04-28,Product D,East,David Wilson,33,370.7611200122592,12235.116960404554
2023-05-20,Product A,South,Eva Brown,11,466.6870277058977,5133.557304764875
2023-11-29,Product C,East,Alice Johnson,6,174.93609631502108,1049.6165778901263
2023-01-10,Product E,South,David Wilson,2,167.95338403761426,335.9067680752285
2023-05-10,Product D,North,Eva Brown,9,382.5116513459464,3442.604862113518
2023-02-07,Product C,North,Eva Brown,44,210.17396353859928,9247.654395698368
2023-05-17,Product B,West,Carol Davis,35,463.96021755895845,16238.607614563545
2023-11-16,Product D,Central,Carol Davis,41,377.74594313500364,15487.58366853515
2023-11-12,Product C,Central,Eva Brown,5,125.48895557184989,627.4447778592494
2023-03-19,Product B,West,Alice Johnson,45,298.2702711395778,13422.162201281
2023-10-23,Product C,Central,Alice Johnson,23,224.98489094028614,5174.652491626581
2023-06-02,Product A,North,Bob Smith,14,42.64336507150031,597.0071110010044
2023-04-14,Product C,East,Carol Davis,7,367.96907703655774,2575.783539255904
2023-02-11,Product D,Central,Alice Johnson,30,448.0073656949692,13440.220970849077
2023-06-06,Product A,North,Eva Brown,37,391.500250134868,14485.509254990116
2023-10-16,Product D,South,Bob Smith,5,439.61516201325725,2198.075810066286
2023-12-19,Product E,West,Eva Brown,24,305.93935731553114,7342.544575572747
2023-01-15,Product E,Central,Eva Brown,47,210.38803677189168,9888.23772827891
2023-06-22,Product B,East,Carol Davis,36,275.9349772403221,9933.659180651595
2023-10-26,Product C,Central,David Wilson,11,479.94664933637364,5279.41314270011
2023-12-26,Product B,East,David Wilson,26,297.25261768823066,7728.568059893997
2023-07-29,Product A,North,David Wilson,43,466.73795841697006,20069.732211929713
2023-12-22,Product D,Central,Eva Brown,8,329.1699333842406,2633.359467073925
2023-04-02,Product B,North,Carol Davis,29,61.08101336538665,1771.3493875962129
2023-10-24,Product C,North,Eva Brown,21,91.10505007997199,1913.2060516794118
2023-07-01,Product A,North,Carol Davis,40,307.86825295918675,12314.73011836747
2023-11-05,Product A,South,David Wilson,26,173.41459412866064,4508.779447345177
2023-03-04,Product D,North,Bob Smith,11,462.25051358125756,5084.755649393834
2023-07-29,Product C,South,Carol Davis,17,297.66342982691793,5060.278307057605
2023-12-30,Product C,East,Alice Johnson,7,91.10152553970717,637.7106787779502
2023-12-10,Product A,North,Eva Brown,43,319.8095010805699,13751.808546464505
2023-06-05,Product B,Central,Alice Johnson,7,488.01524468455057,3416.106712791854
2023-12-27,Product A,West,David Wilson,40,256.07555506230887,10243.022202492355
2023-09-14,Product E,East,Carol Davis,19,181.19962953417317,3442.79296114929
2023-06-07,Product E,North,Eva Brown,29,241.31280310389963,6998.071290013089
2023-01-19,Product B,North,Carol Davis,47,268.5473877709451,12621.72722523442
2023-04-23,Product B,East,David Wilson,1,173.83777754213628,173.83777754213628
2023-02-24,Product C,South,Bob Smith,19,325.55977618711773,6185.635747555237
2023-03-28,Product D,South,Eva Brown,8,23.27703632670691,186.21629061365527
2023-09-04,Product C,East,Eva Brown,8,61.01320517244118,488.10564137952946
2023-08-27,Product E,East,Carol Davis,33,282.7935765438494,9332.188025947029
2023-09-21,Product B,East,Carol Davis,16,204.61992951304288,3273.918872208686
2023-06-14,Product E,South,Bob Smith,7,370.59326046604116,2594.152823262288
2023-03-26,Product C,Central,Carol Davis,36,325.0335261709841,11701.206942155428
2023-03-23,Product B,North,Eva Brown,20,174.5742700034192,3491.485400068384
2023-07-14,Product D,West,Eva Brown,37,210.6117095737078,7792.633254227188
2023-08-10,Product A,South,Eva Brown,44,117.56015728966976,5172.646920745469
2023-12-08,Product D,North,Bob Smith,30,248.84128714226168,7465.238614267851
2023-08-03,Product A,South,Carol Davis,17,141.65190609862358,2408.0824036766007
2023-02-09,Product B,Central,Alice Johnson,39,116.83132267210237,4556.421584211993
2023-10-05,Product C,West,Bob Smith,29,94.12285006566871,2729.5626519043926
2023-08-03,Product E,East,Bob Smith,21,409.37666991720397,8596.910068261283
2023-02-10,Product B,North,Eva Brown,25,253.7577980501464,6343.944951253659
2023-03-17,Product E,South,Eva Brown,27,451.0091345055715,12177.24663165043
2023-05-14,Product C,South,David Wilson,45,335.8679705276652,15114.058673744934
2023-06-22,Product A,South,Eva Brown,28,387.7465747614925,10856.904093321791
2023-02-15,Product B,West,Carol Davis,1,50.57134728331197,50.57134728331197
2023-10-19,Product C,South,Eva Brown,21,420.1687054444844,8823.542814334172
2023-01-11,Product D,North,Carol Davis,39,309.09828683389924,12054.83318652207
2023-11-06,Product B,Central,Alice Johnson,36,274.5229616650148,9882.826619940533
2023-08-15,Product D,East,Alice Johnson,45,85.78934903278575,3860.5207064753586
2023-07-20,Product B,South,Eva Brown,9,46.817513050546296,421.35761745491664
2023-01-17,Product A,North,Eva Brown,43,303.16016855139577,13035.887247710018
2023-01-25,Product C,East,Bob Smith,37,11.146301406631347,412.4131520453598
2023-04-12,Product B,West,Carol Davis,37,54.875215930050736,2030.3829894118771
2023-11-01,Product E,North,Bob Smith,49,100.71513513092363,4935.041621415257
2023-11-14,Product C,Central,Alice Johnson,23,364.8106313438379,8390.644520908272
2023-07-17,Product A,South,Alice Johnson,12,118.39262649160509,1420.711517899261
2023-12-31,Product B,South,Alice Johnson,23,282.345224904218,6493.940172797014
2023-03-27,Product B,Central,Alice Johnson,48,66.48819041116934,3191.4331397361284
2023-11-11,Product E,South,David Wilson,39,233.0204056677165,9087.795821040943
2023-04-13,Product A,East,David Wilson,45,47.707068798312484,2146.8180959240617
2023-10-20,Product C,South,David Wilson,39,164.49226553699907,6415.198355942964
2023-01-04,Product E,North,Eva Brown,18,264.8823738405786,4767.882729130415
2023-04-18,Product B,East,Bob Smith,34,20.422011316689698,694.3483847674497
2023-09-04,Product E,Central,Bob Smith,32,466.9690556183739,14943.009779787964
2023-02-08,Product D,Central,Alice Johnson,29,28.422418871067826,824.250147260967
2023-08-24,Product A,West,Alice Johnson,10,54.932674204600765,549.3267420460077
2023-12-25,Product D,Central,Alice Johnson,30,11.63971740105982,349.1915220317946
2023-05-22,Product B,West,Bob Smith,37,30.625662921817323,1133.149528107241
2023-07-12,Product E,North,Alice Johnson,24,70.9744030754596,1703.3856738110305
2023-07-06,Product B,Central,Eva Brown,37,53.81139113300716,1991.021471921265
2023-07-17,Product C,Central,Bob Smith,25,374.24288321787583,9356.072080446897
2023-09-17,Product C,West,Eva Brown,45,68.96599339714801,3103.4697028716605
2023-04-17,Product B,North,Bob Smith,41,101.35474845068471,4155.544686478073
2023-09-16,Product E,Central,Alice Johnson,9,464.59861876565435,4181.387568890889
2023-08-29,Product E,East,Bob Smith,35,381.53685309500474,13353.789858325166
2023-03-03,Product A,East,Carol Davis,38,315.23931763820815,11979.09407025191
2023-03-30,Product A,West,Eva Brown,34,234.14172790911658,7960.818748909964
2023-11-19,Product C,West,Eva Brown,9,31.744565131286016,285.70108618157417
2023-08-14,Product D,South,Alice Johnson,15,331.0685705131206,4966.028557696809
2023-09-18,Product C,East,Bob Smith,24,133.79805604083367,3211.153344980008
2023-02-07,Product C,Central,Bob Smith,18,49.71264579474749,894.8276243054547
2023-11-12,Product E,West,Eva Brown,13,427.0913878838967,5552.188042490657
2023-02-09,Product E,Central,Carol Davis,3,180.4265118720746,541.2795356162238
2023-12-20,Product C,Central,Eva Brown,33,440.5286933140274,14537.446879362904
2023-05-27,Product D,North,Carol Davis,48,357.097858590367,17140.697212337618
2023-12-29,Product E,North,Eva Brown,42,61.858705976006156,2598.0656509922587
2023-06-04,Product D,Central,Carol Davis,45,437.20332859516367,19674.149786782364
2023-01-31,Product B,South,Carol Davis,30,455.26364154199024,13657.909246259707
2023-03-23,Product D,South,Eva Brown,29,136.75728204197492,3965.9611792172727
2023-08-12,Product E,East,Alice Johnson,41,319.58862823816753,13103.133757764868
2023-08-11,Product B,West,Eva Brown,35,72.93987186566378,2552.895515298232
2023-03-15,Product A,South,David Wilson,15,466.69377169990855,7000.406575498629
2023-10-05,Product D,West,David Wilson,4,157.47214780393998,629.8885912157599
2023-01-17,Product D,North,Bob Smith,1,38.381025673811166,38.381025673811166
2023-04-30,Product C,South,Bob Smith,14,487.0095948969245,6818.134328556943
2023-10-12,Product D,West,Carol Davis,35,301.2539710219872,10543.888985769552
2023-01-07,Product E,East,Alice Johnson,6,192.19842932697506,1153.1905759618503
2023-02-27,Product B,South,Bob Smith,29,472.7087811293366,13708.554652750761
2023-04-09,Product E,North,Eva Brown,29,156.2034711850964,4529.900664367795
2023-10-15,Product B,West,Carol Davis,27,435.3466180408235,11754.358687102234
2023-08-24,Product D,Central,Eva Brown,47,215.66638529379992,10136.320108808597
2023-03-25,Product C,North,Eva Brown,3,162.85647534261392,488.56942602784176
2023-02-27,Product D,South,Eva Brown,35,25.255700613410568,883.9495214693699
2023-10-08,Product D,South,David Wilson,16,276.1840748370795,4418.945197393272
2023-03-01,Product A,North,Eva Brown,8,387.75170387558546,3102.0136310046837
2023-06-23,Product B,West,Carol Davis,29,74.30999006436991,2154.9897118667277
2023-06-30,Product D,South,Carol Davis,20,400.3032725783264,8006.065451566528
2023-06-02,Product A,West,David Wilson,36,283.622209565767,10210.39954436761
2023-11-15,Product E,Central,Bob Smith,24,222.29090699611123,5334.981767906669
2023-03-05,Product E,North,Eva Brown,18,343.4237469160694,6181.627444489249
2023-12-04,Product C,Central,Alice Johnson,33,476.79783263897133,15734.328477086054
2023-09-24,Product C,North,Alice Johnson,12,493.46467070090176,5921.576048410821
2023-06-09,Product D,West,Alice Johnson,10,390.14432053854847,3901.443205385485
2023-08-30,Product D,North,Bob Smith,33,53.054584580968346,1750.8012911719554
2023-03-18,Product D,South,Bob Smith,38,288.0950156481635,10947.610594630212
2023-06-23,Product B,South,Bob Smith,42,92.06646530694418,3866.791542891656
2023-11-01,Product C,Central,Carol Davis,6,301.44055231469866,1808.643313888192
2023-03-14,Product A,South,David Wilson,8,474.20172668920895,3793.6138135136716
2023-12-14,Product D,East,Carol Davis,20,280.9707117700596,5619.414235401192
2023-11-10,Product B,East,Alice Johnson,42,224.9175360798738,9446.536515354699
2023-01-12,Product D,Central,Alice Johnson,45,311.713590751699,14027.111583826454
2023-05-27,Product D,Central,Eva Brown,32,254.1159010620381,8131.708833985219
2023-03-23,Product B,East,Eva Brown,32,275.81453150249007,8826.065008079682
2023-02-28,Product C,West,Bob Smith,35,118.0749512119384,4132.623292417844
2023-07-26,Product A,West,Alice Johnson,30,480.7824702286187,14423.47410685856
2023-01-24,Product D,Central,David Wilson,28,191.8089938624553,5370.651828148749
2023-01-20,Product D,South,Alice Johnson,32,298.14860526413884,9540.755368452443
2023-09-07,Product E,South,David Wilson,2,302.88454697537355,605.7690939507471
2023-09-19,Product B,East,Carol Davis,12,198.08510441522017,2377.021252982642
2023-01-18,Product E,North,Carol Davis,26,360.7542326942234,9379.610050049809
2023-08-28,Product B,West,Bob Smith,37,428.6486957510938,15860.00174279047
2023-02-10,Product D,Central,Alice Johnson,20,300.5459172031144,6010.918344062288
2023-11-22,Product A,East,Alice Johnson,28,136.4853820235525,3821.59069665947
2023-08-17,Product E,North,David Wilson,36,485.2123120884869,17467.64323518553
2023-10-30,Product C,South,Carol Davis,14,172.13578786469424,2409.901030105719
2023-04-03,Product B,West,Alice Johnson,1,230.22257925473147,230.22257925473147
2023-09-21,Product C,West,Alice Johnson,20,195.88570906198765,3917.714181239753
2023-04-17,Product E,Central,David Wilson,37,393.0772616240644,14543.858680090383
2023-04-30,Product D,West,David Wilson,20,142.17730964332492,2843.546192866498
2023-05-10,Product A,Central,David Wilson,26,29.278334927569727,761.2367081168129
2023-04-29,Product C,Central,Eva Brown,5,60.62138899076768,303.10694495383837
2023-06-28,Product D,South,David Wilson,24,346.1241906316622,8306.980575159892
2023-05-06,Product B,North,Bob Smith,29,435.27996431481085,12623.118965129515
2023-08-11,Product C,South,David Wilson,38,78.42911483059332,2980.3063635625463
2023-05-06,Product E,West,Bob Smith,42,369.1204699872575,15503.059739464814
2023-01-08,Product B,Central,Alice Johnson,8,86.52028394816523,692.1622715853218
2023-12-24,Product E,South,Alice Johnson,26,193.4054158984984,5028.540813360958
2023-04-24,Product B,North,Bob Smith,8,433.658329617968,3469.266636943744
2023-03-17,Product C,North,David Wilson,33,304.2986758476557,10041.85630297264
2023-10-14,Product E,Central,Alice Johnson,26,180.80109694856554,4700.828520662704
2023-07-11,Product A,North,Alice Johnson,25,436.66919066525696,10916.729766631424
2023-03-14,Product E,Central,Alice Johnson,11,440.47262503766046,4845.198875414265
2023-04-12,Product D,East,Bob Smith,18,440.16666793025047,7923.000022744509
2023-10-06,Product C,Central,Carol Davis,1,68.90243713159813,68.90243713159813
2023-11-06,Product A,Central,Alice Johnson,12,308.81758469436033,3705.811016332324
2023-05-23,Product E,East,David Wilson,29,229.85987508504002,6665.936377466161
2023-11-01,Product A,East,David Wilson,38,45.86600264653738,1742.9081005684204
2023-12-21,Product B,South,Alice Johnson,3,275.7581958400718,827.2745875202154
2023-11-24,Product B,West,Eva Brown,29,177.21143553681662,5139.131630567682
2023-01-12,Product E,South,Eva Brown,15,271.46524789617047,4071.978718442557
2023-09-28,Product C,South,David Wilson,43,18.9339655114172,814.1605169909395
2023-04-17,Product E,West,Alice Johnson,36,464.24692695019024,16712.88937020685
2023-09-28,Product D,Central,Eva Brown,22,105.33357836079747,2317.3387239375443
2023-11-30,Product E,West,Eva Brown,46,160.57208281388043,7386.3158094385
2023-08-27,Product D,East,Bob Smith,36,361.64153509522845,13019.095263428224
2023-01-02,Product A,Central,David Wilson,26,69.7241857351043,1812.828829112712
2023-09-20,Product D,South,Eva Brown,31,357.432668243992,11080.412715563752
2023-11-08,Product A,South,Eva Brown,42,459.6987196939749,19307.346227146947
2023-03-25,Product D,North,David Wilson,45,320.24417404107095,14410.987831848193
2023-05-21,Product E,West,Alice Johnson,26,113.90197155503105,2961.4512604308075
2023-01-10,Product B,North,Eva Brown,42,451.0113304650255,18942.47587953107
2023-07-27,Product A,South,Carol Davis,37,158.0096458990496,5846.356898264835
2023-06-01,Product C,West,David Wilson,39,337.0994506528205,13146.87857546
2023-05-26,Product C,West,Bob Smith,33,217.73295832751796,7185.187624808093
2023-03-10,Product A,East,David Wilson,34,241.71706316025924,8218.380147448814
2023-05-29,Product A,Central,Carol Davis,28,111.03122061402894,3108.8741771928103
2023-01-11,Product B,North,Eva Brown,25,494.01490490529477,12350.372622632369
2023-10-18,Product E,South,Carol Davis,42,219.81781131355123,9232.348075169151
2023-06-16,Product A,North,Carol Davis,39,177.13411199236808,6908.230367702355
2023-10-29,Product C,West,Bob Smith,38,293.40958933314045,11149.564394659337
2023-06-16,Product E,West,Eva Brown,33,301.91785681258875,9963.289274815428
2023-03-14,Product A,East,Alice Johnson,39,44.01768294558575,1716.6896348778441
2023-02-18,Product D,South,David Wilson,5,44.266486797622726,221.33243398811362
2023-06-09,Product E,South,Carol Davis,44,168.92353902653406,7432.635717167499
2023-09-16,Product B,West,Bob Smith,38,283.3138745113122,10765.927231429863
2023-12-20,Product D,West,Bob Smith,36,481.21621061785845,17323.783582242904
2023-10-14,Product A,South,Alice Johnson,16,10.605973082110626,169.69556931377002
2023-05-16,Product D,East,Eva Brown,23,205.664798746561,4730.290371170903
2023-04-14,Product E,West,David Wilson,1,422.59631424444643,422.59631424444643
2023-05-29,Product D,South,Alice Johnson,16,258.35083159203646,4133.613305472583
2023-08-14,Product E,West,Alice Johnson,23,138.925159256313,3195.278662895199
2023-03-07,Product A,Central,Bob Smith,27,127.13711277666015,3432.702044969824
2023-11-27,Product C,West,Bob Smith,4,437.93496424468543,1751.7398569787417
2023-09-19,Product C,East,David Wilson,37,201.61095389850547,7459.605294244702
2023-01-12,Product A,South,Bob Smith,45,196.50541380352425,8842.743621158592
2023-08-04,Product B,East,David Wilson,14,49.65044869511357,695.1062817315899
2023-06-12,Product B,East,Bob Smith,35,179.5888660035149,6285.610310123022
2023-10-03,Product B,South,Alice Johnson,2,74.93708964350573,149.87417928701146
2023-11-06,Product A,West,Alice Johnson,46,450.14819737342594,20706.817079177592
2023-08-26,Product E,West,Carol Davis,35,205.34488360843343,7187.0709262951705
2023-01-25,Product E,Central,Bob Smith,8,244.3346712935554,1954.6773703484432
2023-01-25,Product D,Central,David Wilson,12,483.2528589650778,5799.034307580933
2023-04-06,Product D,Central,David Wilson,18,146.09878563713795,2629.778141468483
2023-06-09,Product E,East,Bob Smith,23,84.49217803303758,1943.3200947598643
