Headline,Link
Musk’s Starlink Service Loses its Shine With Consumers in Kenya,/news/articles/2025-08-07/elon-musk-s-starlink-satellite-service-loses-its-shine-with-consumers-in-kenya?srnd=homepage-asia
Spacecraft Maker Firefly Raises $868 Million in Upsized IPO,/news/articles/2025-08-06/spacecraft-maker-firefly-raises-868-million-in-upsized-ipo?srnd=homepage-asia
"Virgin Galactic Cuts Jobs, Delays Delta Spaceplane Debut",/news/articles/2025-08-06/virgin-galactic-spce-to-delay-first-spaceplane-flight-to-fall-2026?srnd=homepage-asia
I-Hwa Cheng/Bloomberg,/news/articles/2025-08-07/investors-aren-t-spooked-by-trump-s-100-chip-tariff-threat?srnd=homepage-asia
Investors Unfazed by Trump’s 100% Semiconductor Tariff Threat,/news/articles/2025-08-07/investors-aren-t-spooked-by-trump-s-100-chip-tariff-threat?srnd=homepage-asia
Peloton Projects Sales Decline and Will Cut Jobs in Turnaround Bid,/news/articles/2025-08-07/peloton-projects-sales-decline-and-will-cut-jobs-in-turnaround-bid?srnd=homepage-asia
TSMC Trade Secrets Leak Puts Japan’s Tokyo Electron on Hot Seat,/news/articles/2025-08-07/tsmc-trade-secrets-leak-puts-japan-s-tokyo-electron-on-hot-seat?srnd=homepage-asia
Manulife Buys Comvest to Build $18.4 Billion Private Credit Unit,/news/articles/2025-08-06/manulife-buys-comvest-to-build-18-4-billion-private-credit-unit?srnd=homepage-asia
MetLife Shares Drop After Second-Quarter Earnings Miss Estimates,/news/articles/2025-08-06/metlife-shares-drop-after-second-quarter-earnings-miss-estimates?srnd=homepage-asia
Zillow Earnings Beat Estimates Despite Sluggish Housing Market,/news/articles/2025-08-06/zillow-earnings-beat-estimates-despite-sluggish-housing-market?srnd=homepage-asia
Clarens Siffroy/AFP/Getty Images,/news/articles/2025-08-07/warlord-barbecue-threatens-haiti-pm-office-as-violence-flares?srnd=homepage-asia
Warlord ‘Barbecue’ Threatens Haiti PM Office as Violence Flares,/news/articles/2025-08-07/warlord-barbecue-threatens-haiti-pm-office-as-violence-flares?srnd=homepage-asia
Trump to Sign Order Targeting Banks on Political Discrimination,/news/articles/2025-08-07/trump-to-sign-order-targeting-banks-on-political-discrimination?srnd=homepage-asia
Waller Emerges as Favorite for Fed Chair Among Trump Team,/news/articles/2025-08-07/waller-emerges-as-favorite-for-fed-chair-among-trump-team?srnd=homepage-asia
37 minutes agoSwiss Government Is Still Talking to the US to Lower Tariffs,/news/articles/2025-08-07/swiss-government-will-continue-talking-to-us-despite-tariffs?srnd=homepage-asia
about 3 hours agoTrump Calls for New Census That Blocks Undocumented Migrants from Count,/news/articles/2025-08-07/trump-calls-for-new-census-blocking-undocumented-from-count?srnd=homepage-asia
What’s a ‘Secondary Tariff’ Like the One Trump Imposed on India?,/news/articles/2025-08-06/what-s-a-secondary-tariff-like-the-one-trump-imposed-on-india?srnd=homepage-asia
How DeepSeek and Open-Source Models Are Shaking Up AI,/news/articles/2025-08-06/how-deepseek-and-open-source-ai-models-are-disrupting-big-tech?srnd=homepage-asia
The AI Showdown: How the US and China Stack Up,/news/articles/2025-08-06/who-is-winning-the-artificial-intelligence-race-the-us-or-china?srnd=homepage-asia
What Went Wrong for BP? Why Oil Major’s Reset Strategy Is Under Pressure,/news/articles/2025-08-05/bp-s-reset-under-pressure-will-new-chairman-business-review-satisfy-elliott?srnd=homepage-asia
Tim Goessman/Bloomberg,/news/articles/2025-08-07/us-auto-safety-regulator-sought-tesla-robotaxi-ride-last-month?srnd=homepage-asia
US Auto Safety Regulator Sought Tesla Robotaxi Ride Last Month,/news/articles/2025-08-07/us-auto-safety-regulator-sought-tesla-robotaxi-ride-last-month?srnd=homepage-asia
Firefly Aerospace to Debut After Tumultuous Path to IPO,/news/articles/2025-08-07/firefly-aerospace-to-go-public-after-navigating-tumultuous-path?srnd=homepage-asia
Crocs Sinks Most Since March 2020 After Tariffs Zap Sales,/news/articles/2025-08-07/crocs-sinks-after-third-quarter-forecast-for-sharp-sales-decline?srnd=homepage-asia
Al Drago/Bloomberg,/news/articles/2025-08-07/some-common-medications-can-increase-the-risk-of-heat-related-illness?srnd=homepage-asia
"Some Common Medications Have a Little-Known Side EffectThose taking certain drugs to treat heart diseases, allergies and other maladies are at a higher risk of heat-related illness.",/news/articles/2025-08-07/some-common-medications-can-increase-the-risk-of-heat-related-illness?srnd=homepage-asia
"Trump’s Attack on Wind, Solar Cuts Deeper Than Industry Expected",/news/articles/2025-08-07/trump-s-attack-on-wind-and-solar-energy-is-exceeding-industries-worst-fears?srnd=homepage-asia
Five Top Tables: Where to Eat in London This Month,/news/articles/2025-08-07/5-top-london-restaurants-august-2025-from-soho-to-hackney?srnd=homepage-asia
"Inside the Lavish New Dior Spa, the First to Open in the US",/news/articles/2025-08-06/inside-new-dior-spa-in-new-york-city-s-lavishly-renovated-flagship-store?srnd=homepage-asia
Cadillac’s Most Affordable Electric SUV Is Anything but Basic,/news/articles/2025-08-06/2025-cadillac-optiq-electric-suv-is-affordable-anything-but-basic-review?srnd=homepage-asia
"In Hawaii, New Tourism Tax Aims to Offset Costs of Climate Change",/news/articles/2025-08-06/what-to-know-about-hawaii-s-new-green-fees-before-your-next-trip?srnd=homepage-asia
Natalie Behring/Bloomberg,/news/articles/2025-08-07/boe-s-bailey-praises-powell-as-a-friend-with-utmost-integrity?srnd=homepage-asia
BOE’s Bailey Praises Powell as a Friend With ‘Utmost Integrity’,/news/articles/2025-08-07/boe-s-bailey-praises-powell-as-a-friend-with-utmost-integrity?srnd=homepage-asia
Bessent Says Labor Data Clean-Up Should Have Happened Long Ago,/news/articles/2025-08-07/bessent-says-labor-data-clean-up-should-have-happened-long-ago?srnd=homepage-asia
US Continuing Jobless Claims Rise to Highest Since End of 2021,/news/articles/2025-08-07/us-continuing-jobless-claims-rise-to-highest-since-end-of-2021?srnd=homepage-asia
Three Deaths Reported as NYC Legionnaires’ Outbreak Spreads,/news/articles/2025-08-06/three-deaths-reported-as-nyc-legionnaires-outbreak-spreads?srnd=homepage-asia
What England’s New National Cycling Network Needs to Get Rolling,/news/articles/2025-08-06/england-s-national-cycling-network-gets-a-new-expansion-plan?srnd=homepage-asia
Dan Kitwood/Getty Images,/news/articles/2025-08-07/uk-detains-first-migrants-under-returns-treaty-with-france?srnd=homepage-asia
UK Detains First Migrants Under Returns Treaty With France,/news/articles/2025-08-07/uk-detains-first-migrants-under-returns-treaty-with-france?srnd=homepage-asia
"Disney’s Tepid Outlook Points to Struggling Movie, TV Divisions",/news/articles/2025-08-06/disney-shares-fall-as-pay-tv-woes-overshadow-parks-streaming?srnd=homepage-asia
Liverpool’s £116 Million Wirtz Deal so Big It's on Bayer AG's Balance Sheet,/news/articles/2025-08-06/liverpool-s-wirtz-116-million-price-tag-is-rare-boost-for-bayer?srnd=homepage-asia
"3 days agoSouth Africa, Gates Foundation Pledge Funds to Sustain HIV Research After US Cuts",/news/articles/2025-08-04/south-africa-gates-step-in-after-us-defunds-hiv-research?srnd=homepage-asia
Crypto Stablecoins: What Could Go Wrong?,/news/articles/2025-06-10/stablecoins-bring-crypto-closer-to-the-mainstream-what-could-go-wrong?srnd=homepage-asia
"Private Credit Fuels a ‘Buy Now, Pay Later’ Lending Boom in AsiaGovernments are warning consumers about the risk of high-rate debt. Lenders say they’re opening up underserved markets.",/news/articles/2025-08-06/-buy-now-pay-later-loans-are-booming-in-asia-fueled-by-private-credit?srnd=homepage-asia
